x	V(out)
5.900000000000000e+02	1.028200e+00
5.910000000000000e+02	1.023664e+00
5.920000000000000e+02	9.690161e-01
5.930000000000000e+02	9.761827e-01
5.940000000000000e+02	9.952245e-01
5.950000000000000e+02	9.960027e-01
5.960000000000000e+02	1.017364e+00
5.970000000000000e+02	9.676953e-01
5.980000000000000e+02	9.687831e-01
5.990000000000000e+02	9.596487e-01
6.000000000000000e+02	9.823875e-01
6.010000000000000e+02	9.670327e-01
6.020000000000000e+02	9.524734e-01
6.030000000000000e+02	1.033064e+00
6.040000000000000e+02	9.744828e-01
6.050000000000000e+02	9.642035e-01
6.060000000000000e+02	9.655442e-01
6.070000000000000e+02	9.803011e-01
6.080000000000000e+02	9.533572e-01
6.090000000000000e+02	9.909289e-01
6.100000000000000e+02	1.028312e+00
6.110000000000000e+02	9.943372e-01
6.120000000000000e+02	9.517488e-01
6.130000000000000e+02	9.785784e-01
6.140000000000000e+02	1.045140e+00
6.150000000000000e+02	9.671315e-01
6.160000000000000e+02	9.594150e-01
6.170000000000000e+02	9.773912e-01
6.180000000000000e+02	9.701364e-01
6.190000000000000e+02	1.025312e+00
6.200000000000000e+02	1.030088e+00
6.210000000000000e+02	1.008608e+00
6.220000000000000e+02	9.996995e-01
6.230000000000000e+02	1.009097e+00
6.240000000000000e+02	1.006879e+00
6.250000000000000e+02	9.685098e-01
6.260000000000000e+02	1.040166e+00
6.270000000000000e+02	9.524462e-01
6.280000000000000e+02	9.764376e-01
6.290000000000000e+02	1.028252e+00
6.300000000000000e+02	1.009970e+00
6.310000000000000e+02	1.005622e+00
6.320000000000000e+02	9.596533e-01
6.330000000000000e+02	1.042679e+00
6.340000000000000e+02	9.898391e-01
6.350000000000000e+02	9.539903e-01
6.360000000000000e+02	1.008512e+00
6.370000000000000e+02	9.913215e-01
6.380000000000000e+02	9.629533e-01
6.390000000000000e+02	1.010894e+00
6.400000000000000e+02	9.555407e-01
6.410000000000000e+02	1.034830e+00
6.420000000000000e+02	9.952064e-01
6.430000000000000e+02	9.985014e-01
6.440000000000000e+02	9.567447e-01
6.450000000000000e+02	9.721006e-01
6.460000000000000e+02	1.014436e+00
6.470000000000000e+02	1.047583e+00
6.480000000000000e+02	1.044934e+00
6.490000000000000e+02	1.023647e+00
6.500000000000000e+02	9.920853e-01
6.510000000000000e+02	1.018573e+00
6.520000000000000e+02	1.018622e+00
6.530000000000000e+02	9.731266e-01
6.540000000000000e+02	1.049477e+00
6.550000000000000e+02	9.935593e-01
6.560000000000000e+02	1.024379e+00
6.570000000000000e+02	9.838051e-01
6.580000000000000e+02	9.862916e-01
6.590000000000000e+02	1.048988e+00
6.600000000000000e+02	1.022508e+00
6.610000000000000e+02	1.033751e+00
6.620000000000000e+02	9.898036e-01
6.630000000000000e+02	1.035170e+00
6.640000000000000e+02	9.671603e-01
6.650000000000000e+02	1.044739e+00
6.660000000000000e+02	9.850897e-01
6.670000000000000e+02	9.884878e-01
6.680000000000000e+02	9.899730e-01
6.690000000000000e+02	1.021837e+00
6.700000000000000e+02	1.033592e+00
6.710000000000000e+02	1.045087e+00
6.720000000000000e+02	9.563981e-01
6.730000000000000e+02	1.016453e+00
6.740000000000000e+02	9.676312e-01
6.750000000000000e+02	9.870958e-01
6.760000000000000e+02	9.668400e-01
6.770000000000000e+02	9.613203e-01
